latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.15763,56.10341,308.88,1,1,2022-01-24,0656,T,62,6.1NRT,295.62,5.16,D
24.5068,56.60642,313.3,1.04,1.02,2022-01-24,0656,T,46,6.1NRT,301.3,5.27,D
39.85064,98.26608,305.47,1.69,1.28,2022-01-24,0701,A,61,6.1NRT,281.77,15.26,D
39.84898,98.25931,302.45,1.69,1.28,2022-01-24,0701,A,45,6.1NRT,281.66,12.19,D
17.44544,96.38477,319.75,1.05,1.02,2022-01-24,0654,A,72,6.1NRT,301.29,11.69,D
17.44395,96.37501,315.6,1.05,1.02,2022-01-24,0654,A,62,6.1NRT,301.41,7.44,D
17.51967,95.89865,319.62,1.09,1.04,2022-01-24,0654,A,53,6.1NRT,306.81,6.76,D
18.52453,100.15274,319.95,1.18,1.08,2022-01-24,0654,A,73,6.1NRT,304.59,10.75,D
18.76993,101.30991,314.14,1.38,1.16,2022-01-24,0654,A,32,6.1NRT,302,11.98,D
18.77289,100.04802,316.35,1.17,1.08,2022-01-24,0654,A,32,6.1NRT,303.1,7.32,D
18.77497,100.04205,315.28,1.17,1.08,2022-01-24,0654,A,55,6.1NRT,303.71,7.25,D
18.12334,95.09153,315.32,1.16,1.07,2022-01-24,0654,A,61,6.1NRT,303.61,6.93,D
18.12165,95.08072,315.96,1.17,1.07,2022-01-24,0654,A,58,6.1NRT,302.53,8.13,D
18.17613,95.08667,318.82,1.16,1.07,2022-01-24,0654,A,54,6.1NRT,305.07,8.46,D
18.17441,95.07587,319.06,1.16,1.07,2022-01-24,0654,A,60,6.1NRT,305.89,9.31,D
18.18739,95.09579,317.96,1.16,1.07,2022-01-24,0654,A,21,6.1NRT,304.63,7.46,D
18.57519,95.68704,319.73,1.09,1.04,2022-01-24,0654,A,59,6.1NRT,306.94,6.94,D
18.64609,95.01855,322.59,1.16,1.07,2022-01-24,0654,A,76,6.1NRT,305.44,14.52,D
19.18999,98.45296,321.27,1.03,1.01,2022-01-24,0654,A,60,6.1NRT,301.7,11.85,D
19.08434,97.24411,318.97,1,1,2022-01-24,0654,A,74,6.1NRT,301.83,8.06,D
19.08298,97.2347,316.58,1,1,2022-01-24,0654,A,54,6.1NRT,302.96,6.36,D
18.90638,94.90967,315.28,1.16,1.07,2022-01-24,0654,A,64,6.1NRT,302.47,8.2,D
19.41807,98.1043,315.79,1.02,1.01,2022-01-24,0654,A,66,6.1NRT,303.31,7.67,D
19.35693,97.41254,316.19,1,1,2022-01-24,0654,A,32,6.1NRT,303.37,5.16,D
19.05951,95.23851,316.62,1.12,1.05,2022-01-24,0654,A,58,6.1NRT,304.4,6.13,D
19.73819,99.38197,309.91,1.11,1.05,2022-01-24,0654,A,47,6.1NRT,298.47,6.76,D
19.46311,97.37925,316.39,1,1,2022-01-24,0654,A,51,6.1NRT,303.22,6.86,D
19.36001,96.35868,317.76,1.02,1.01,2022-01-24,0654,A,57,6.1NRT,302.41,6.49,D
19.26,95.34074,317.98,1.1,1.05,2022-01-24,0654,A,53,6.1NRT,303.77,4.27,D
19.68932,97.03572,310.71,1,1,2022-01-24,0654,A,47,6.1NRT,291.55,6.47,D
19.79071,97.42381,316.61,1,1,2022-01-24,0654,A,68,6.1NRT,302.54,6.83,D
19.78936,97.41438,319.63,1,1,2022-01-24,0654,A,74,6.1NRT,301.47,10.49,D
19.48075,94.91555,316.24,1.14,1.07,2022-01-24,0654,A,62,6.1NRT,303.73,6.12,D
20.13519,97.05672,313.9,1,1,2022-01-24,0654,A,47,6.1NRT,300.91,6.72,D
20.11197,96.89632,330.95,1,1,2022-01-24,0654,A,84,6.1NRT,305.19,20.78,D
20.11061,96.88692,321.19,1,1,2022-01-24,0654,A,56,6.1NRT,302.13,10.19,D
20.17699,97.03053,316.21,1,1,2022-01-24,0654,A,60,6.1NRT,301.74,7.01,D
20.1818,97.00079,316.59,1,1,2022-01-24,0654,A,60,6.1NRT,299.65,8.79,D
20.22722,96.99729,318.95,1,1,2022-01-24,0654,A,33,6.1NRT,296.64,9.68,D
20.24918,96.89695,313.54,1,1,2022-01-24,0654,A,55,6.1NRT,301.96,5.33,D
20.15217,95.86396,315.43,1.04,1.02,2022-01-24,0654,A,59,6.1NRT,298.72,6.55,D
20.48578,97.91049,315.16,1.02,1.01,2022-01-24,0654,A,71,6.1NRT,298.61,7.71,D
20.34355,96.84581,320.96,1,1,2022-01-24,0654,A,75,6.1NRT,300.05,12.27,D
20.05045,94.68233,323.06,1.16,1.07,2022-01-24,0654,A,74,6.1NRT,303.59,15.26,D
20.04871,94.67144,324.05,1.16,1.07,2022-01-24,0654,A,75,6.1NRT,304.63,16.63,D
20.52478,97.53672,314.24,1.01,1,2022-01-24,0654,A,67,6.1NRT,301.74,6.21,D
20.19477,94.76053,319.79,1.14,1.06,2022-01-24,0654,A,68,6.1NRT,304.15,8.7,D
20.34315,94.77678,316.91,1.13,1.06,2022-01-24,0654,A,59,6.1NRT,303.72,7.55,D
20.39245,94.6571,317.18,1.15,1.07,2022-01-24,0654,A,50,6.1NRT,302.81,7.29,D
20.91071,97.39434,312.48,1,1,2022-01-24,0654,A,44,6.1NRT,300.01,6.63,D
20.40655,93.04681,321.22,1.41,1.18,2022-01-24,0654,A,47,6.1NRT,303.75,16.48,D
21.03774,96.86569,320.42,1,1,2022-01-24,0654,A,68,6.1NRT,301.81,10.06,D
21.22438,98.13252,316.51,1.04,1.02,2022-01-24,0654,A,66,6.1NRT,302.09,8.6,D
21.28337,98.16787,317.29,1.04,1.02,2022-01-24,0654,A,75,6.1NRT,300.28,10.45,D
20.51328,93.00712,336.69,1.41,1.18,2022-01-24,0654,A,88,6.1NRT,299.89,52.8,D
20.51103,92.99388,335.69,1.42,1.18,2022-01-24,0654,A,88,6.1NRT,301.34,51.44,D
21.53646,99.82127,307.05,1.22,1.1,2022-01-24,0654,A,60,6.1NRT,294.16,7.28,D
21.33146,98.18049,318.86,1.04,1.02,2022-01-24,0654,A,58,6.1NRT,297.83,11.98,D
20.64472,93.04353,319.2,1.4,1.17,2022-01-24,0654,A,74,6.1NRT,301.34,14.13,D
20.6425,93.03031,317.45,1.4,1.17,2022-01-24,0654,A,51,6.1NRT,300.81,11.4,D
20.67752,92.98244,318.82,1.41,1.18,2022-01-24,0654,A,61,6.1NRT,302.72,11.25,D
21.38383,96.33389,313.4,1.01,1,2022-01-24,0654,A,55,6.1NRT,298.56,5.64,D
21.49051,96.4374,332.81,1,1,2022-01-24,0656,A,85,6.1NRT,301.94,26.23,D
21.64895,96.8927,313.34,1,1,2022-01-24,0656,A,43,6.1NRT,300.4,4.68,D
21.64759,96.88317,317.41,1,1,2022-01-24,0656,A,69,6.1NRT,301.4,8.19,D
22.01788,97.41585,321.7,1.01,1.01,2022-01-24,0656,A,33,6.1NRT,300.42,13.84,D
22.19354,97.56048,320.17,1.02,1.01,2022-01-24,0656,A,77,6.1NRT,296.08,13.61,D
22.20252,97.55898,327.83,1.02,1.01,2022-01-24,0656,A,84,6.1NRT,296.77,21.04,D
22.29806,97.64672,314.54,1.02,1.01,2022-01-24,0656,A,59,6.1NRT,295.13,9.33,D
22.28043,97.51951,314.04,1.02,1.01,2022-01-24,0656,A,56,6.1NRT,299.21,8,D
22.2723,97.46108,316.62,1.02,1.01,2022-01-24,0656,A,34,6.1NRT,297.72,7.87,D
22.28127,97.45962,322.71,1.02,1.01,2022-01-24,0656,A,80,6.1NRT,297.66,14.26,D
22.35421,97.5919,307.58,1.02,1.01,2022-01-24,0656,A,30,6.1NRT,293.16,3.8,D
22.35287,97.58212,309.63,1.02,1.01,2022-01-24,0656,A,38,6.1NRT,295.8,4.88,D
22.33623,97.39559,310.72,1.01,1.01,2022-01-24,0656,A,62,6.1NRT,296.66,5.26,D
22.06061,95.30962,314.41,1.05,1.02,2022-01-24,0656,A,64,6.1NRT,299.75,4.92,D
22.50243,97.46574,313.76,1.02,1.01,2022-01-24,0656,A,69,6.1NRT,297.6,5.67,D
22.50109,97.45605,316.92,1.02,1.01,2022-01-24,0656,A,74,6.1NRT,300.06,8.34,D
22.45084,95.45032,314.85,1.03,1.02,2022-01-24,0656,A,67,6.1NRT,298.37,6.62,D
22.57295,95.40617,313.23,1.03,1.02,2022-01-24,0656,A,65,6.1NRT,297.43,6.19,D
22.60923,95.27711,315.88,1.04,1.02,2022-01-24,0656,A,70,6.1NRT,297.74,7.1,D
22.60772,95.26714,318.95,1.04,1.02,2022-01-24,0656,A,74,6.1NRT,298.06,10.18,D
22.7207,95.34727,312.83,1.03,1.02,2022-01-24,0656,A,54,6.1NRT,294.76,5.12,D
22.71918,95.33733,313.5,1.04,1.02,2022-01-24,0656,A,51,6.1NRT,297.13,5.74,D
23.20786,98.40121,321.53,1.09,1.04,2022-01-24,0656,A,80,6.1NRT,292.68,20.09,D
26.56339,92.35973,355.88,1.24,1.11,2022-01-24,0656,A,80,6.1NRT,293.95,98.7,D
26.56136,92.3475,358.81,1.24,1.11,2022-01-24,0656,A,94,6.1NRT,294.18,109.51,D
28.20683,101.93743,308.58,2.06,1.4,2022-01-24,0656,A,24,6.1NRT,279.51,26.06,D
28.20968,101.93216,317.73,2.06,1.4,2022-01-24,0656,A,67,6.1NRT,281.68,46.81,D
28.23439,101.92658,333.7,2.06,1.4,2022-01-24,0656,A,89,6.1NRT,282.33,98.38,D
28.3602,101.90807,300.1,2.06,1.4,2022-01-24,0656,A,12,6.1NRT,278.42,14.72,D
28.96943,95.78728,329.58,1.01,1.01,2022-01-24,0656,A,60,6.1NRT,272.09,30.12,D
12.12816,77.21284,319.26,1.24,1.11,2022-01-24,0832,A,46,6.1NRT,305.83,6.57,D
12.59098,77.62222,318.36,1.33,1.14,2022-01-24,0832,A,56,6.1NRT,303.52,9.3,D
12.5876,77.61689,318.76,1.33,1.14,2022-01-24,0832,A,50,6.1NRT,303.81,10.52,D
12.85015,77.7439,318.19,1.37,1.16,2022-01-24,0832,A,57,6.1NRT,305.63,8.58,D
13.50306,77.66199,315.2,1.38,1.16,2022-01-24,0832,A,24,6.1NRT,299.97,9.36,D
13.74932,76.51909,316.81,1.19,1.08,2022-01-24,0832,A,41,6.1NRT,304.43,6.44,D
13.96039,77.6607,321.99,1.4,1.17,2022-01-24,0832,A,66,6.1NRT,305.99,13.76,D
13.76898,75.75821,324.29,1.09,1.04,2022-01-24,0832,A,74,6.1NRT,303.9,15.82,D
16.38458,77.61512,317.31,1.5,1.21,2022-01-24,0834,A,35,6.1NRT,303.27,10.7,D
16.23456,76.02917,319.76,1.19,1.09,2022-01-24,0834,A,61,6.1NRT,304.4,8.32,D
16.28508,75.88822,318.11,1.17,1.08,2022-01-24,0834,A,55,6.1NRT,302.04,8.65,D
17.45034,78.22091,322.47,1.71,1.28,2022-01-24,0834,A,71,6.1NRT,301.43,23.94,D
